mult,pT,eta
14,5.15081,-23.5055
4,1.29063,-1.61263
6,1.19412,17.5585
24,7.90965,62.0573
4,1.73217,12.2355
32,12.1243,38.0674
32,10.3277,55.7496
12,4.88567,19.9867
6,2.13758,3.52933
12,3.97247,-34.8527
4,1.69061,-2.20517
24,7.17971,-54.042
16,7.08702,-29.9802
32,11.0645,-94.2956
12,4.65904,44.8465
22,9.24005,43.7126
16,5.30462,-21.4401
6,1.6588,0.48788
26,7.54877,14.9615
10,2.97182,7.39652
4,1.72032,4.93475
4,1.92933,5.05413
14,5.41881,-24.9566
12,3.26021,29.0061
4,1.61967,1.33932
10,4.409,32.2866
12,3.22066,-50.1292
6,1.3688,-7.45499
30,11.4548,-59.8742
14,2.62409,17.5244
20,5.97826,-64.0318
30,11.3606,99.9315
4,1.06376,12.1693
30,13.9978,16.9797
4,1.46017,9.37458
4,1.25736,13.1214
12,4.84789,-34.3766
4,0.798476,-0.198257
4,1.29992,10.8007
12,5.86312,-22.6893
14,4.09992,0.229056
22,8.65025,-35.7493
18,7.04227,-39.6871
4,0.496531,1.35422
24,9.31107,-35.5507
16,6.4808,-24.6237
6,2.3295,11.132
24,8.35231,-19.4107
10,4.23419,35.129
4,0.970796,-2.73233
4,2.22308,7.08041
48,19.6739,-66.615
6,2.50169,19.6208
4,2.08593,5.27243
10,2.58636,-28.5729
12,5.05473,-41.7439
4,0.936494,-8.19031
16,5.11431,24.6703
18,6.94674,3.66525
14,4.34864,16.9773
4,1.48965,-8.00956
8,4.16888,18.5349
14,4.92253,-28.7686
4,1.12005,13.6634
8,2.56161,-19.2911
6,2.06902,-8.30744
6,1.61616,15.4375
12,5.02647,-47.9431
6,2.51831,6.59148
6,1.49189,9.20364
26,10.1899,38.8481
4,0.99528,2.00404
26,8.74167,-29.5772
20,6.65263,12.7114
16,4.43486,52.6941
24,6.25855,14.8617
14,5.64466,-36.0327
8,0.76034,29.4007
8,2.28296,-25.3434
20,7.80788,2.57865
2,0.563127,0.290073
8,1.37061,-35.5913
24,8.20653,35.1987
24,11.5797,0.492618
32,9.76155,-1.094
8,4.22264,-2.2903
22,7.22474,64.6566
20,6.29075,14.244
8,2.2686,-5.58664
12,3.9386,-40.924
22,7.62289,-65.6314
26,8.08633,-10.0394
8,3.15497,-27.4882
26,8.65259,-26.1107
6,2.59317,21.5521
