mult,pT,eta
12,3.16306,-50.6794
18,5.74209,-56.5521
8,1.64662,15.4878
30,11.6212,42.6268
26,10.7758,120.202
28,9.33267,63.3459
24,7.78109,-26.8249
2,0.548162,-1.53951
12,4.55358,-52.65
26,9.3653,102.052
2,0.97842,-2.48823
4,1.41504,14.334
8,1.88307,35.3478
18,7.1039,78.091
30,11.6596,50.3379
46,18.7458,17.5578
26,10.0569,-28.1086
4,1.50713,-3.28952
44,16.1893,75.8221
16,4.52337,-51.315
28,10.0946,-31.1533
40,19.0941,-8.30659
2,0.635905,-2.92035
6,2.59583,-26.7437
18,5.06532,-76.1361
24,9.15782,-93.2314
36,16.3604,56.7614
40,12.9796,-30.9165
12,4.17342,-2.2742
12,6.28329,-29.7668
72,40.4679,156.08
48,20.3197,-50.6439
16,6.72069,-50.8752
28,16.4337,101.665
10,4.19214,27.8006
8,2.94705,37.393
32,14.3035,41.764
44,16.941,-76.4911
38,11.622,123.327
72,36.6869,-59.0279
56,21.9399,-192.999
6,1.55379,26.2166
20,8.47171,-51.7097
62,29.8397,-57.2352
18,7.07677,-81.4083
10,5.30982,21.9036
10,4.06311,-13.4734
12,3.5806,32.7383
24,14.4395,0.753801
6,1.95772,6.54653
48,19.1774,48.065
14,5.41618,-2.40888
28,10.6347,91.287
16,4.96936,-48.125
48,19.4789,121.908
8,3.697,-26.6403
44,19.3599,44.8076
24,10.1504,95.3453
16,5.32111,-55.1265
24,9.22341,-86.8662
22,7.78067,88.1141
2,0.200686,4.34672
16,6.18024,-71.9788
22,12.082,-46.3173
38,14.5178,57.9964
16,6.12239,69.3044
16,4.5985,-55.5478
24,9.232,38.7815
42,15.772,-106.357
50,24.9521,-73.2691
30,10.9767,47.8025
2,0.435301,0.122986
22,6.8831,77.506
20,9.41714,-89.1607
8,1.26106,-42.9971
82,31.7424,-172.582
4,1.27208,16.1196
88,42.0058,-177.287
32,11.0148,60.2298
22,8.72518,-22.9453
26,8.27532,116.048
4,1.01268,-12.8424
36,16.9254,95.6643
40,13.3404,-113.931
38,16.5259,-77.2216
10,4.7487,17.0589
26,14.1353,73.6892
46,18.4213,90.6386
14,6.3779,25.6439
18,6.32775,64.5782
8,2.87289,-17.0648
36,13.9749,53.5989
16,5.65928,-69.9314
16,5.04558,52.8863
10,3.25705,56.1254
24,9.65735,43.3514
32,12.7862,56.4175
34,11.0859,-48.2653
24,8.62255,24.4377
36,13.8867,-55.0042
4,1.17611,-19.0169
34,15.8362,84.1018
16,5.31743,65.8745
12,4.62331,60.039
22,8.07683,95.7019
34,12.3867,37.7015
24,9.24494,-111.968
70,31.8247,-42.6602
2,0.228059,1.65366
8,2.95476,15.1256
2,0.683933,0.875465
18,6.42781,-77.9732
30,11.6847,45.5639
24,7.36315,33.673
30,11.2636,15.9971
4,1.21498,4.61791
26,9.70709,22.8639
98,48.5039,-57.7937
32,10.6543,-24.7422
62,30.8822,-203.966
6,2.15546,-23.1458
26,14.7427,-26.1596
42,16.3274,-5.10057
26,11.2789,-0.266881
10,3.48681,-57.4123
14,3.8979,-23.3239
36,15.2352,-0.524666
16,8.20772,8.41507
4,0.919967,14.7913
34,12.075,126.836
8,2.08307,40.9182
18,5.08455,-20.6382
22,6.24254,46.8357
16,5.83584,78.6952
26,9.64291,54.6822
2,0.49708,1.79922
4,1.227,1.40041
164,110.358,-200.242
36,11.636,3.98601
36,10.5709,-45.1115
42,14.6638,93.6068
10,3.0138,53.7646
2,0.569901,1.43132
10,3.36673,48.9265
28,9.21167,-130.419
2,0.837735,-3.3904
6,3.64004,0.86119
20,7.96116,2.12586
10,4.54937,-46.8669
4,0.971032,14.2033
16,5.41325,-69.5026
26,10.5286,52.7094
26,8.25059,130.838
18,6.81059,-3.44179
100,67.1833,-81.5966
22,5.82553,60.8491
42,17.7843,46.912
2,0.305311,-0.0714202
62,21.2916,73.0704
28,11.1858,-101.43
28,10.1481,32.0806
2,0.486518,-4.60441
24,9.55314,-72.0888
10,3.30305,52.0654
30,13.5815,-40.1508
22,10.4187,92.8947
14,5.30097,-51.0276
60,25.694,49.1825
34,13.6188,-142.113
4,1.45136,-13.2672
4,1.64924,12.8465
48,14.4065,-69.7991
64,24.7325,46.779
34,16.8367,-49.6944
38,17.1619,106.242
16,3.91109,-5.21048
16,6.47679,62.3239
2,0.414443,-1.23792
24,12.1455,-18.9515
24,7.82695,-120.817
14,6.85512,-16.4193
10,4.13045,-45.227
28,7.71439,-89.6489
48,24.7053,133.553
54,24.3558,43.7997
82,41.0351,13.1171
40,14.372,-37.2782
28,12.6267,23.3386
76,31.1431,88.5897
26,10.9321,-33.9329
42,16.0695,-67.1252
30,9.11244,-119.267
2,0.730858,2.18257
2,0.487848,-2.68391
34,13.6213,108.324
38,15.4172,69.3998
12,3.78541,-60.7124
18,4.23464,88.8139
44,18.7511,166.206
12,4.17648,2.70111
30,13.6598,63.2195
10,2.49753,32.2963
4,1.03781,-13.4809
6,2.01987,-2.83885
18,3.65395,12.1431
24,11.2065,-45.4034
86,47.9333,23.5394
32,13.1941,83.4951
6,1.92639,-28.254
46,17.7163,10.4468
6,1.82549,-26.5405
18,7.38559,-37.7812
24,7.93056,78.3908
56,30.9084,31.7527
16,5.01831,70.3029
32,10.4143,72.5669
42,22.3891,116.348
120,48.4064,107.166
4,0.956206,10.8848
6,2.75053,-25.4542
2,0.530753,2.34913
8,2.89578,-42.9108
8,1.93329,15.4668
20,7.93985,35.6825
4,1.26295,14.7479
16,4.46451,-17.6973
98,40.9704,-53.7891
2,1.14501,1.37761
12,3.14179,-1.2118
4,1.69409,11.0083
46,16.4285,70.1938
2,1.16265,-0.35501
32,10.2087,40.7721
24,7.42198,-15.0569
26,7.19114,60.906
24,9.81415,-106.133
22,8.69749,-20.183
28,10.0321,107.93
34,13.7823,-53.5842
24,10.8953,-46.7335
10,3.28458,-54.6419
2,0.865621,2.22501
40,17.0548,-68.2196
4,1.26682,-17.3854
2,0.287774,-0.681884
40,15.5251,-70.2157
10,2.8798,-51.7829
4,0.892905,-18.0781
30,11.2036,45.7862
28,9.53136,67.2914
6,1.25226,-3.49473
30,10.4001,-22.6346
34,14.7566,-82.553
14,4.68035,-66.1686
10,3.29169,0.893802
18,7.19236,33.0937
20,7.84942,31.0151
36,15.9524,28.629
30,11.801,-3.35382
52,19.2093,-5.77351
56,20.2103,19.7966
28,11.2143,62.9327
30,10.8709,-68.162
36,17.5998,-25.7067
40,15.0892,51.9513
4,2.16164,-11.2978
44,17.6632,-67.4836
20,6.52353,-87.2386
4,1.71107,-15.286
42,12.8617,46.7529
108,56.697,-121.152
16,5.47592,80.8684
14,5.98149,41.582
4,1.43119,15.9099
6,1.51411,14.9434
4,1.00507,-15.3682
34,12.9699,-126.667
40,15.3952,42.4236
14,5.67289,23.7354
28,12.3911,-16.3861
8,2.51345,11.4163
26,11.0426,46.0348
2,0.587739,-0.723842
10,4.89441,-33.2175
4,0.572999,17.7329
16,7.105,48.0691
8,2.4548,38.3024
10,3.36834,-51.4261
44,19.9458,-135.404
24,7.24668,-58.5859
40,16.1368,-19.593
