mult,pT,eta
30,8.44579,-4.49685
30,8.84119,-87.2167
38,16.3974,-17.3731
10,5.59041,-15.8312
34,13.1393,-62.535
24,9.75464,52.7025
36,12.9356,50.1038
12,6.02867,58.0082
4,0.908125,17.2809
26,8.20256,118.54
24,11.8001,87.5208
48,18.6421,-47.1606
48,18.0861,-49.228
30,11.1073,-10.1451
14,5.80926,67.5918
20,8.22259,74.7432
40,14.9367,91.6091
34,12.8731,49.8735
74,25.7898,169.285
18,5.12307,-76.7698
32,14.2263,39.7884
4,2.07179,13.2257
26,7.87528,33.8789
28,6.91947,-43.8717
30,9.88721,-76.5246
50,19.5852,87.2244
28,13.7408,-22.8716
10,2.93638,-57.0726
20,8.18722,59.3759
58,26.2091,110.384
40,14.639,18.3599
22,8.1713,63.1398
22,8.10054,-40.2445
12,4.02587,-52.2577
48,20.6094,55.4794
38,14.0411,-52.5238
10,4.36952,-30.0218
18,5.66184,-17.4297
68,37.359,82.1443
34,11.6884,73.5237
6,1.3209,1.97671
16,5.67377,16.5772
22,7.42664,-49.3953
54,16.3489,127.267
14,4.0091,-16.9559
38,23.4288,35.2018
12,4.53933,-55.2089
30,12.053,-93.0253
32,13.7913,22.3355
8,3.67163,-33.6869
4,1.65421,-17.7022
30,12.2179,-43.1451
36,15.8895,-73.8088
68,28.6802,-50.2671
28,10.2884,-9.93695
36,14.9225,22.6466
18,7.28539,16.9776
24,6.74382,-33.5882
24,6.38753,-5.8919
8,4.06728,32.5273
8,3.68684,36.4596
4,2.67223,-15.3838
18,5.36714,-75.1446
38,12.5259,-97.0561
40,18.4811,51.7751
46,21.1711,-35.8139
18,5.29198,31.8465
8,1.58692,-13.2413
20,13.129,-4.50899
12,4.36113,-21.2429
26,13.0215,-16.4552
8,3.50978,39.1864
62,26.5816,32.598
36,17.4913,-109.023
34,13.9668,-21.8907
16,4.91582,-34.9864
18,6.53118,-80.1039
30,12.7043,25.6015
48,19.7833,124.412
38,12.1669,-52.8547
18,6.48697,74.0224
28,13.724,41.9777
20,8.63115,-37.0479
6,2.26491,-1.8929
18,5.2971,-12.2748
22,8.96746,66.3162
14,5.13021,-13.3705
12,5.28786,41.1653
12,3.01111,55.4925
10,3.16756,-43.7637
124,63.8528,192.79
20,7.5351,-65.0923
32,10.5647,55.6938
14,5.84427,-64.8483
26,9.13054,39.177
40,15.7028,-29.31
24,7.58169,-51.7578
14,5.91191,63.517
38,17.5547,-35.3776
16,6.60988,-51.4891
32,10.7462,55.3835
54,20.4584,-119.253
28,10.3447,-76.4255
30,13.6236,69.298
24,8.0407,-104.923
18,7.33764,-50.1599
16,5.71617,-72.8758
24,9.22719,34.9257
48,22.0764,51.0906
22,8.04403,-76.9089
18,6.75272,32.3898
22,9.58338,52.378
56,25.7954,-125.271
26,9.42484,-58.5921
16,4.25104,-62.9405
38,15.0121,-58.2874
40,14.098,-28.4089
18,5.50318,78.3471
26,9.9248,-76.9791
10,3.46861,-46.6329
56,34.0736,-75.641
28,12.5472,0.507755
10,2.64564,22.8427
24,11.8969,84.1787
24,8.69905,-95.6248
54,21.9201,-19.7585
22,7.50513,-25.5353
28,12.7176,78.7137
16,4.55673,-34.1235
10,3.66568,-48.3106
18,7.93262,75.0409
18,5.48358,-52.0018
24,7.40968,-103.78
28,8.54862,21.6309
14,5.65278,18.6873
40,15.1227,72.5104
32,14.1694,-36.4347
2,0.854988,-0.67101
14,6.22502,32.6952
52,22.5779,-14.9304
10,2.47017,1.028
34,14.3775,-17.5708
22,6.97927,93.2971
32,12.1881,101.93
14,3.96431,-2.5254
22,7.5321,-56.2265
4,1.05381,-19.4102
4,1.10998,12.5662
22,6.43848,30.4912
80,43.0282,72.5404
2,1.0263,1.37245
18,5.75363,41.1684
36,11.3777,94.3725
42,15.8664,-14.3894
20,6.98578,-12.9004
20,10.579,-39.0628
34,22.2507,26.4674
24,8.50249,53.6705
46,15.7689,52.2394
28,11.7979,-4.50768
24,9.10031,26.8422
18,6.84324,32.6927
26,11.464,57.5353
38,13.243,6.3053
28,11.6013,-69.1258
2,1.5208,-0.950188
32,11.6978,-37.1503
50,18.1545,148.977
34,11.8932,23.4276
24,6.62776,8.12281
34,13.8158,-65.0946
60,25.5083,-165.816
38,14.3457,-9.23365
78,32.2499,35.0846
10,2.67723,40.0283
42,16.579,84.0173
44,15.0775,-85.836
28,10.1733,101.185
46,22.9493,67.1911
34,13.0336,-68.2493
4,1.89228,16.8705
14,4.44308,55.6664
26,9.42241,-50.4092
42,15.3024,50.2489
22,8.99129,43.9617
36,13.3462,57.4536
42,14.7712,63.9285
30,12.5562,54.6716
10,3.85411,-31.5832
6,0.560137,-0.245935
2,0.704077,-1.82464
4,0.887977,-21.8127
50,19.1371,25.6486
22,7.22052,0.809069
32,11.0807,-52.8256
92,43.2434,-99.8564
