mult,pT,eta
58,40.5267,-4.0257
56,23.0322,12.8916
44,15.8769,12.216
170,101.367,13.7982
204,133.719,128.203
54,25.4539,69.896
44,16.2699,-2.46858
54,16.8365,36.1849
102,45.6006,-67.4571
30,11.2039,44.1253
72,30.8108,-49.9067
88,45.0829,5.37989
196,107.023,93.038
38,14.9505,23.7356
82,33.0526,27.8031
112,54.1561,-64.6293
136,59.5216,-23.2772
40,10.8796,-52.8029
78,26.8981,167.798
66,36.2123,86.2396
192,141.107,-21.4637
120,54.3041,-1.11586
88,42.4801,-24.9851
244,138.649,20.8148
70,29.3273,-29.7839
30,17.4512,-9.26202
68,28.3572,-24.5079
56,26.5195,-46.5961
32,12.0502,-36.5192
88,41.1556,-69.8087
40,16.1563,-51.688
178,117.311,-25.489
200,136.452,-121.373
46,16.8797,6.9374
44,20.272,-59.339
70,29.3664,-29.2304
106,47.3018,-70.793
64,19.3989,7.52667
76,31.6309,-43.6764
40,12.9149,-36.8282
58,30.8703,-16.5286
124,50.3212,114.073
68,31.1942,-32.5302
86,40.7985,0.0743128
188,116.517,82.0092
42,18.2993,3.281
62,31.5652,-23.4469
94,39.8489,86.816
68,27.0029,-21.9999
38,16.5852,68.8247
126,58.1353,-10.5917
186,89.2557,-38.2106
36,14.7062,10.1395
132,62.5248,8.5711
176,94.0511,29.4255
120,52.778,-39.1476
30,12.166,-11.827
80,35.8928,-24.8976
68,27.4146,11.5771
98,41.5918,71.0755
170,92.4904,-7.22076
58,20.042,-3.98578
104,47.0397,8.49779
58,23.9938,3.34091
88,46.4267,90.8037
42,16.4561,19.8939
52,26.7626,30.0321
52,28.0059,-29.8286
136,70.4081,-12.0888
150,85.2667,-106.763
238,141.564,178.021
66,28.2143,-48.9419
92,36.4506,-27.3656
68,28.9141,-48.3002
194,84.73,39.2226
100,36.333,75.312
114,53.1275,85.5308
60,24.277,-13.6058
34,14.9464,-15.0815
74,36.3773,-8.09636
38,17.8793,11.3591
42,17.2193,-33.1806
40,15.7641,-53.6334
286,161.244,41.6915
74,38.7612,-28.1059
48,16.7891,4.0454
56,18.7481,61.4833
44,17.6037,24.9062
58,21.8457,-18.2844
204,110.135,-22.7116
56,20.1687,24.6624
42,13.8288,11.46
38,16.2808,-7.26291
116,54.6307,60.3991
264,170.086,-107.533
46,12.8451,3.19408
32,11.7138,-14.203
84,35.4644,-46.6871
48,16.5691,10.067
108,48.3492,-32.7637
58,30.4386,-32.817
50,23.7156,41.2736
186,116.168,-140.437
44,17.3941,-1.67367
130,77.3189,16.1786
64,33.9531,-5.95543
44,14.9792,-18.545
74,23.3923,11.0814
138,74.1578,-12.0599
156,77.7377,-61.3117
98,54.2583,-38.4268
84,39.943,-10.7747
108,53.1616,-13.5123
148,84.0623,2.62829
70,29.5013,-85.1448
146,73.0352,13.1272
46,20.3076,-18.4841
78,36.4324,62.2242
34,11.8242,-79.8458
100,48.2104,-58.3056
40,13.5236,49.001
142,69.7264,-38.0305
36,14.0189,25.3813
144,83.9781,17.2615
112,63.721,-49.9351
116,48.7136,-3.44593
88,35.1471,-55.7459
116,57.3224,-40.0056
46,16.931,31.8507
56,25.9269,63.7213
38,14.1592,4.25206
64,27.0348,3.47988
40,17.5242,13.0667
36,13.2011,26.1774
64,30.1921,12.1414
44,19.5376,-21.9723
54,27.3357,3.66624
60,27.3123,8.22952
96,53.3906,-41.5878
218,132.147,-257.178
40,18.2424,-50.9867
44,14.2069,0.616263
32,8.31501,41.4414
50,17.0709,-51.1498
38,12.4271,-11.6436
158,80.7924,53.5404
66,30.7543,33.1469
216,101.502,91.7249
112,55.0502,31.1114
108,42.8677,15.8697
46,21.7445,-1.0844
70,28.0785,6.49407
42,12.4597,-25.5195
180,93.058,72.4817
40,16.1321,46.2429
164,104.543,-91.1257
38,14.4498,8.50453
74,30.6948,-3.71606
130,62.363,-3.12464
52,20.576,-9.74832
134,61.3879,-12.9639
36,11.5981,-78.1305
48,21.4285,-21.0867
142,79.6969,10.4022
36,12.3844,-63.2598
162,83.4857,22.9173
80,47.0735,43.8641
38,12.1608,-25.4408
104,50.9298,127.437
118,50.7689,9.89965
34,12.032,-79.955
64,22.3441,14.269
76,34.761,-19.5427
102,48.5767,72.3401
74,31.7037,-60.2849
44,14.2656,-31.0403
134,59.4287,51.5222
120,68.3183,63.6358
130,71.2612,-26.5898
46,18.9111,-6.96646
90,37.5003,35.794
96,46.8651,38.1119
60,25.1476,-12.3402
54,23.3023,8.27619
40,13.2287,32.0606
68,30.9711,62.6777
40,17.6471,-11.0638
60,23.9929,-11.533
54,15.0756,13.7932
154,65.8845,-19.2968
36,12.416,10.2232
46,18.689,46.8599
54,24.6896,10.1002
30,9.86579,-7.52859
80,32.4785,-5.1816
136,71.7103,14.9857
128,60.5791,49.2524
56,25.9746,72.4659
60,30.5469,-2.24759
64,30.6199,-77.8817
44,18.972,-25.8634
78,38.3128,42.5269
98,57.3258,-106.597
60,20.8245,-11.1563
132,63.2218,-149.252
102,50.2888,17.9621
42,14.6699,29.7467
120,52.2427,30.046
42,16.1699,5.94593
32,10.6145,-21.7113
162,92.7925,-3.48077
74,31.3201,-122.9
52,19.6012,-49.3753
50,21.3227,8.38924
106,57.3284,57.3006
34,11.449,8.33064
46,18.6828,11.8091
