mult,pT,eta
12,2.62393,-63.2038
30,9.07338,-96.4305
2,0.617076,0.0921561
6,1.46777,-30.7634
32,11.549,-2.43178
2,0.977649,-0.87606
4,0.562584,18.2551
126,60.3647,-89.3902
8,3.18333,-24.3753
28,12.7169,41.7514
8,2.02176,39.1379
4,1.42483,15.8068
14,4.52522,74.4069
2,0.748373,2.55561
8,2.57011,37.1444
74,40.0843,-41.5564
68,21.8931,22.0368
8,2.98116,-20.9498
14,5.28132,67.8329
24,10.9325,-47.9075
4,1.05574,13.0372
64,28.8818,-121.387
48,19.2157,24.7503
4,0.697701,18.796
18,8.53397,-85.8139
34,12.0418,-102.939
64,28.1529,-8.78751
28,10.9415,115.222
20,5.95854,-72.8599
54,20.7271,-132.652
2,0.772876,0.435134
14,5.32544,73.0181
22,7.10545,-1.44413
16,5.25307,-49.1816
8,2.93177,29.989
2,0.233212,1.20369
22,7.33216,-80.1512
66,29.9592,41.5582
30,12.6898,-104.437
4,1.44577,12.9429
46,19.2186,-91.2617
136,67.803,-128.238
60,24.8515,-83.0741
20,6.32705,19.3129
4,1.63702,-12.8359
8,2.87402,41.9725
108,49.8408,-57.239
2,0.491874,-0.83128
2,0.524481,-1.1434
56,20.7787,138.314
26,10.1424,8.76804
44,17.1394,35.722
14,4.61751,-80.1094
26,10.5154,-10.0616
20,9.30645,92.3965
16,5.96607,82.7957
32,14.7564,66.6
14,4.27124,-58.8666
36,16.0717,-134.14
42,13.5143,-130.427
30,13.1989,-84.7715
18,5.92839,65.595
6,2.03082,-24.4887
6,2.07665,27.148
26,9.32812,-73.2661
36,13.0298,48.836
22,8.18951,117.521
4,0.932181,15.6269
40,17.2618,-128.754
40,12.5715,7.58928
32,13.109,81.0199
4,1.03017,-12.5879
2,0.530134,-0.609129
26,8.8828,-66.1418
12,5.2572,48.2903
28,12.1306,-135.778
58,25.3637,145.481
8,2.46497,-44.4203
8,2.56792,38.9954
2,0.898821,-1.69875
12,4.1612,34.2197
68,23.2224,-4.6048
12,4.07678,62.1155
42,12.4811,25.619
18,5.23051,-75.3408
42,16.8582,-141.361
24,8.24823,-68.7525
18,5.15476,-79.3297
6,1.50582,-28.568
18,6.61223,-38.3192
36,11.8221,-39.6459
2,0.909087,1.73
2,1.23722,-3.42381
52,18.6896,-91.7364
4,0.535771,-15.4712
2,0.303286,1.10394
6,1.5038,-25.389
4,2.46583,7.34092
42,16.2415,-115.081
2,0.557001,1.58425
74,34.5087,129.28
142,84.5829,-11.1187
40,16.9995,-185.734
122,73.7397,-110.914
14,4.22452,58.3106
12,3.60783,65.3791
2,0.291155,-4.63156
32,11.4003,118.047
56,19.0463,61.6728
34,16.8135,-48.2157
16,6.44149,67.016
12,5.82297,47.6953
6,1.80876,29.8142
10,3.6369,45.251
2,0.534545,2.06073
98,46.9419,38.6745
102,44.9929,-9.35633
14,5.35884,57.7941
2,0.825455,-0.565548
10,4.03445,36.1718
16,5.96352,63.7211
8,2.2483,38.5029
8,2.19845,-39.3224
2,0.185052,5.53304
4,3.25652,-12.5213
54,32.3997,43.3573
4,1.73185,17.2323
2,0.678623,-5.17963
30,10.176,11.3906
2,1.17973,-2.82347
2,0.939826,2.63667
38,14.3277,-79.3203
8,2.25051,-28.0083
4,0.75715,-14.5946
28,12.0203,-24.5812
2,0.668712,-1.42679
2,0.592331,-3.25804
24,9.23735,-64.7954
34,13.6353,-135.851
12,5.44109,-49.622
16,6.16127,-39.7805
6,2.49375,-24.0925
14,5.4396,-60.8145
40,19.9533,-100.23
30,13.6903,16.5008
6,2.3762,-27.3492
16,7.71044,84.6677
50,24.5344,-93.4385
76,35.2544,-84.3323
24,8.33231,88.8617
88,55.1393,-1.94454
18,5.74504,62.4705
4,1.27531,14.7833
18,7.39309,61.4514
2,0.390628,4.54334
12,3.93865,-51.9297
4,1.22821,13.9675
12,3.87523,-52.0202
42,20.5331,68.2113
14,6.60563,-63.7014
40,12.6351,48.8649
40,19.6367,-22.2556
12,6.49127,-7.71938
12,4.96177,-56.6428
12,6.37007,32.39
20,6.43839,58.5362
8,4.12746,31.5356
2,0.80074,1.82957
8,3.03963,36.1505
48,16.8478,-19.2677
2,0.743103,-1.68497
8,2.34321,29.9554
2,0.241361,-5.19192
4,1.39907,14.3523
24,9.23714,-65.3922
56,28.3946,64.0021
2,0.696269,-2.69762
12,3.01457,58.886
24,10.2319,76.8376
44,15.7801,-0.146676
14,4.47038,-72.8548
10,4.23235,52.651
32,10.4841,-103.949
82,41.6823,-134.462
6,2.82563,27.3829
46,20.1633,-0.078617
4,1.5857,17.6459
6,2.77162,22.9131
2,0.88253,-2.9274
12,4.16635,61.9377
30,13.7483,-108.884
6,1.57991,31.1314
2,0.35795,-3.60795
20,5.13145,-96.7794
4,2.85111,-13.5466
22,7.72771,-35.07
4,1.26067,16.6908
6,2.08939,-25.5727
2,1.56272,-1.36763
8,2.32005,-32.683
150,87.6427,177.274
2,0.668717,0.616605
44,14.5352,-51.9682
24,9.74036,-16.6001
60,30.1346,110.012
30,10.0783,-8.68121
20,6.64651,-93.8217
44,15.2096,-108.198
2,0.248422,-0.371403
62,24.5513,4.66424
24,7.88432,-120.91
8,2.35992,-36.2564
24,7.3476,-53.2721
10,3.27464,-41.7291
4,0.426231,19.8275
2,0.235392,-0.0952481
102,45.9526,178.946
26,8.83488,26.412
78,45.2603,-125.269
10,3.64278,40.1204
2,0.506248,3.18446
16,5.88919,-63.1119
50,18.5926,20.0322
24,9.35339,-60.8869
16,5.27979,-81.765
2,0.773864,1.26128
76,27.9959,-153.144
2,0.564641,0.185532
42,17.8132,-43.9444
20,6.92039,86.0882
20,10.0559,-59.3624
70,25.585,66.6903
8,2.754,-40.491
20,6.98128,61.989
38,14.6494,-21.8755
20,5.76852,-49.8012
8,1.37244,-45.0544
4,1.2078,16.8586
20,6.17225,62.0561
34,10.493,-99.9198
60,26.4593,28.0672
22,7.34558,-83.214
26,9.15236,105.056
4,1.06918,-15.7984
2,0.352445,-2.21463
40,19.6183,77.6468
84,34.1981,103.481
134,86.7008,138.818
40,13.635,-58.9424
8,2.75484,-37.9403
56,20.3966,-50.1862
2,1.15643,1.95849
34,9.8061,94.5193
4,1.16047,-15.1746
8,3.02418,42.8436
34,13.8153,160.882
4,0.355155,-16.9138
4,1.74144,13.8013
14,3.88732,-49.9835
56,22.4501,112.604
48,19.8709,-80.9334
26,9.12893,-74.7086
28,10.9756,90.1748
2,1.0495,2.19659
12,4.102,53.8006
44,17.6937,81.2046
54,32.4171,-124.06
2,0.728967,-2.05596
8,5.4933,-28.1839
4,2.14433,-12.7771
34,11.9941,-107.849
2,0.641034,0.852498
32,11.9955,-13.8756
50,22.1504,-116.751
2,0.623239,-0.779446
6,1.70901,-24.1288
12,5.05776,32.6321
4,0.776881,-17.9002
44,24.349,-72.7149
66,37.8973,-192.509
58,24.8745,-98.687
14,7.03345,-51.4748
24,8.38427,-11.7482
2,0.539347,-3.88485
26,9.88345,-107.546
20,9.70917,80.9807
2,0.596137,0.208548
4,1.05306,-16.3874
4,0.460196,15.919
50,20.3014,-126.164
20,6.42464,-75.5592
6,2.67607,29.1529
28,10.3914,-64.7274
2,0.76917,2.1222
32,14.5654,105.721
20,7.2628,68.8757
12,5.43051,-19.4823
2,0.274852,-0.878
6,3.40176,-25.7748
32,11.2585,96.2156
8,2.57755,-40.1878
